objectid,parentid,filename,title,creator,distributor,publication,publisher,page number,date,imagedby,imageddate,description,techniques,forms,media,issues,websource,physsource,URL,URLcontext,identifier,type,format,rights,rightsholder,display_template,object_location,image_small,image_thumb,image_alt_text
ff_013,,,You and the World of Print,Printing Industries Association of Texas,,,,,1976,Doug Wilson / PrintingFilms.org,2012,,offset printing; rotary,layers,film,printing; industrial film; process demonstration,PrintingFilms,Personal collection of either David Seat or Carl Schlessinger (contact DW to see),https://printingfilms.com/,,,Image;MovingImage,video/mp4,Public Domain,,video,https://vimeo.com/127605645,/objects/small/worldofprint_sm.jpg,/objects/small/worldofprint_sm.jpg,
ff_014,,peter-gunn-ad.jpg,"Ad for Peter Gunn, Broadcasting Telecasting 61",,,Broadcasting Telecasting,,,1953,Media History Digital Library,,,four color printing; rotary,layers,advertisement; print,printing; bombproof; television,The Internet Archive and Media History Digital Library,,,,,Image;StillImage,image/jpeg,Public Domain,,image,/objects/peter-gunn-ad.jpg,/objects/small/peter-gunn-ad_sm.jpg,/objects/thumbs/peter-gunn-ad_th.jpg,
ff_015,,,"Duck Amuck (Chuck Jones, 1953)",Chuck Jones,Warner Bros.,,,,1953,,,,Technicolor; cel animation,frames,film; animation,projection; frame registration; depiction of error,Vimeo,,https://vimeo.com/403771824,,,Image;MovingImage,video/mp4,Fair Use / External Link,,video,https://vimeo.com/403771824,/objects/small/duckamuck_sm.jpg,/objects/small/duckamuck_sm.jpg,
ff_016,,,"Dresden Dynamo (Lis Rhodes, 1972)",Lis Rhodes,,,,,1972,,,,direct animation; projection installation,frames; layers; dots,film; animation,projection; frame registration; alternative segmentation; mechanical tone,,,,,,,,REQUEST RIGHTS,,compound_object,,,/objects/thumbs/dresdendynamo-1972_th.jpg,
ff_017,ff_016,dresdendynamo-1972.jpg,"Frames from Dresden Dynamo (Lis Rhodes, 1972)",Lis Rhodes,,,,,1972,FIND IMAGE SOURCE,,,direct animation; visible film strip,frames; layers; dots,film; animation,projection; frame registration; alternative segmentation; mechanical tone,,,,,,Image;StillImage,image/jpeg,REQUEST RIGHTS,,image,/objects/dresdendynamo-1972.jpg,/objects/small/dresdendynamo-1972_sm.jpg,/objects/thumbs/dresdendynamo-1972_th.jpg,
ff_018,ff_016,,"Dresden Dynamo (Lis Rhodes, 1972) [full movie]",Lis Rhodes,,,,,1972,AAPSV,2021,,direct animation,frames; layers; dots,film; animation,projection; frame registration; alternative segmentation; mechanical tone,YouTube,,https://www.youtube.com/watch?v=44CpK9FVcfo,,,Image;MovingImage,video/mp4,Fair Use / External Link,,video,https://www.youtube.com/watch?v=44CpK9FVcfo,https://img.youtube.com/vi/44CpK9FVcfo/mqdefault.jpg,https://img.youtube.com/vi/44CpK9FVcfo/hqdefault.jpg,
ff_019,ff_016,,"Winter Light: Lis Rhodes, Dresden Dynamo (2021)",,Southbank Centre,,,,2021,,,,direct animation; projection installation,frames; layers; dots,film; animation,projection; frame registration; alternative segmentation; mechanical tone,YouTube,,https://www.youtube.com/watch?v=kr2ombvBj34,,,Image;MovingImage,video/mp4,REQUEST RIGHTS,,video,https://www.youtube.com/watch?v=kr2ombvBj34,https://img.youtube.com/vi/kr2ombvBj34/mqdefault.jpg,https://img.youtube.com/vi/kr2ombvBj34/hqdefault.jpg,
ff_020,,souvenirofkinetoscope.jpg,"Souvenir of Kinetoscope Film of Eugene Sandow, ca. 1896",Edison Manufacturing Company,Edison Manufacturing Company,,,,1895,FIND IMAGE SOURCE,,,four color printing,frames,print; book illustration,visible film strip,The Internet Archive,tk,tk,,,Image;StillImage,image/jpeg,Public Domain,,image,/objects/souvenirofkinetoscope.jpg,/objects/small/souvenirofkinetoscope_sm.jpg,objects/thumbs/souvenirofkinetoscope_th.jpg,
ff_021,,filmamontageoftheoriescover.png,"Cover of Film: A Montage of Theories, edited by Richard Dyer MccCann",,,,,,,,,,four color printing,frames,print; book illustration,visible film strip,The Internet Archive,tk,tk,,,Image;StillImage,image/png,Public Domain,,image,/objects/filmamontageoftheoriescover.png,/objects/small/filmamontageoftheoriescover_sm.jpg,objects/thumbs/filmamontageoftheoriescover_th.jpg,
ff_022,,,"Diagram of ""Overshooting""",,,International Projectionist,MISSING,MISSING,MISSING,MISSING,,,projection,frames,film,projection; causes and prevention of errors,,,,,,Image;StillImage,image/jpeg,Public Domain,,image,/objects/overshooting.jpg,/objects/small/overshooting_sm.jpg,objects/thumbs/overshooting_th.jpg,
ff_023,,,"""The Principles of Four-Color Printing""",Ben Dalgin,,Advertising Production,McGraw-Hill,color plates between page 138 and 139,1946,GlennF (username),2019,,four color printing,layers,print; book illustration,printing; color registration,The Internet Archive,,https://archive.org/details/AdvertisingProduction/page/n7/mode/2up,,AdvertisingProduction,,multiple,Public Domain,,multiple,,,/objects/thumbs/advertisingproductioncolorplate1_th.jpg,
ff_024,ff_023,advertisingproductioncolorplate1.jpg,"""The Principles of Four-Color Printing""",Ben Dalgin,,Advertising Production,McGraw-Hill,color plates between page 138 and 139,1946,GlennF (username),2019,,four color printing,layers,print; book illustration,printing; color registration,The Internet Archive,,https://archive.org/details/AdvertisingProduction/page/n7/mode/2up,,AdvertisingProduction,Image;StillImage,image/jpeg,Public Domain,,image,/objects/advertisingproductioncolorplate1.jpg,/objects/small/advertisingproductioncolorplate1_sm.jpg,/objects/thumbs/advertisingproductioncolorplate1_th.jpg,
ff_025,ff_023,advertisingproductioncolorplate2.jpg,"""The Principles of Four-Color Printing""",Ben Dalgin,,Advertising Production,McGraw-Hill,color plates between page 138 and 139,1946,GlennF (username),2019,,four color printing,layers,print; book illustration,printing; color registration,The Internet Archive,,https://archive.org/details/AdvertisingProduction/page/n7/mode/2up,,AdvertisingProduction,Image;StillImage,image/jpeg,Public Domain,,image,/objects/advertisingproductioncolorplate2.jpg,/objects/small/advertisingproductioncolorplate2_sm.jpg,/objects/thumbs/advertisingproductioncolorplate2_th.jpg,
ff_026,ff_023,advertisingproductioncolorplate3.jpg,"""The Principles of Four-Color Printing""",Ben Dalgin,,Advertising Production,McGraw-Hill,color plates between page 138 and 139,1946,GlennF (username),2019,,four color printing,layers,print; book illustration,printing; color registration,The Internet Archive,,https://archive.org/details/AdvertisingProduction/page/n7/mode/2up,,AdvertisingProduction,Image;StillImage,image/jpeg,Public Domain,,image,/objects/advertisingproductioncolorplate3.jpg,/objects/small/advertisingproductioncolorplate3_sm.jpg,/objects/thumbs/advertisingproductioncolorplate3_th.jpg,
ff_027,,advertisingproductionp018.jpg,"""Why the Half-Tone Screen?""",Ben Dalgin,,Advertising Production,McGraw-Hill,black-and-white plate after page 17,1946,GlennF (username),2019,,photomechanical halftone,dots,print; printed photo; book illustration,printing; mechanical tone,The Internet Archive,,https://archive.org/details/AdvertisingProduction/page/n7/mode/2up,,AdvertisingProduction,Image;StillImage,image/jpeg,Public Domain,,image,/objects/advertisingproductionp018.jpg,/objects/small/advertisingproductionp018_sm.jpg,/objects/thumbs/advertisingproductionp018_th.jpg,
ff_028,,advertisingproductionp108.jpg,"""The Half-Tone Dot in Newspaper Printing""",Ben Dalgin,,Advertising Production,McGraw-Hill,108,1946,GlennF (username),2019,,photomechanical halftone,dots,print; printed photo; book illustration,printing; mechanical tone,The Internet Archive,,https://archive.org/details/AdvertisingProduction/page/n7/mode/2up,,AdvertisingProduction,Image;StillImage,image/jpeg,Public Domain,,image,/objects/advertisingproductionp108.jpg,/objects/small/advertisingproductionp108_sm.jpg,/objects/thumbs/advertisingproductionp108_th.jpg,
ff_029,,,The Art and Technique of Photoengraving,Horan Engraving,,,,,1950 [circa],Doug Wilson / PrintingFilms.org,2015,,photomechanical halftone,dots,film; printed photo,printing; mechanical tone; process demonstration,PrintingFilms,Personal collection of either David Seat or Carl Schlessinger (contact DW to see),https://printingfilms.com/,,,Image;MovingImage,video/mp4,Public Domain,,video,https://vimeo.com/channels/596175/134626010,,/objects/thumbs/artandtechniqueofphotoengraving_th.jpg,
ff_030,,practicalcolortelevision034.jpg,Convergence Relation to the Shadow Mask,E.C. Cahill,,Practical Color Television for the Service Industry,RCA Service Company,34,1953,World Radio History,,,color television; receiver servicing,dots,print; manual,television; electronic tone,World Radio History,,https://worldradiohistory.com/BOOKSHELF-ARH/Technology/RCA-Books/RCA-Practical-Color-Television-1953.pdf,,,Image;StillImage,image/jpeg,Public Domain,,image,/objects/practicalcolortelevision034.jpg,/objects/small/practicalcolortelevision034_sm.jpg,/objects/thumbs/practicalcolortelevision034_th.jpg,
ff_031,,practicalcolortelevision035.jpg,RCA Tri-Color Kinescope Tube,E.C. Cahill,,Practical Color Television for the Service Industry,RCA Service Company,35,1953,World Radio History,,,color television; kinescope; receiver servicing,dots,print; manual,television; electronic tone,World Radio History,,https://worldradiohistory.com/BOOKSHELF-ARH/Technology/RCA-Books/RCA-Practical-Color-Television-1953.pdf,,,Image;StillImage,image/jpeg,Public Domain,,image,/objects/practicalcolortelevision035.jpg,/objects/small/practicalcolortelevision035_sm.jpg,/objects/thumbs/practicalcolortelevision035_th.jpg,
ff_032,,practicalcolortelevision054.jpg,Correct and Incorrect Convergence of Dot Patterns,E.C. Cahill,,Practical Color Television for the Service Industry,RCA Service Company,54,1953,World Radio History,,,color television; receiver servicing,dots,print; manual,television; electronic tone,World Radio History,,https://worldradiohistory.com/BOOKSHELF-ARH/Technology/RCA-Books/RCA-Practical-Color-Television-1953.pdf,,,Image;StillImage,image/jpeg,Public Domain,,image,/objects/practicalcolortelevision054.jpg,/objects/small/practicalcolortelevision054_sm.jpg,/objects/thumbs/practicalcolortelevision054_th.jpg,
ff_033,,practicalcolortelevision055.jpg,Improper Convergence on a Black and White Picture,E.C. Cahill,,Practical Color Television for the Service Industry,RCA Service Company,55,1953,World Radio History,,,color television; receiver servicing,dots,print; manual,television; electronic tone,World Radio History,,https://worldradiohistory.com/BOOKSHELF-ARH/Technology/RCA-Books/RCA-Practical-Color-Television-1953.pdf,,,Image;StillImage,image/jpeg,Public Domain,,image,/objects/practicalcolortelevision055.jpg,/objects/small/practicalcolortelevision055_sm.jpg,/objects/thumbs/practicalcolortelevision055_th.jpg,
ff_034,,kusama-dressingtable-1964.jpg,"Macaroni Girl, Dressing Table, and Infinity Net Painting",Yayoi Kusama,,,,,1964,,,,painting; sculpture,dots,artwork; painting; sculpture,television; electronic tone; mechanical tone; figure-ground relations,,,,,,Image;StillImage,image/jpeg,REQUEST RIGHTS,,image,/objects/kusama-dressingtable-1964.jpg,/objects/small/kusama-dressingtable-1964_sm.jpg,/objects/thumbs/kusama-dressingtable-1964_th.jpg,
ff_035,,lichtenstein-mirror-1972.jpg,Mirror,Roy Lichtenstein,,,,,1972,,,,painting; mechanical tone,dots,artwork; painting,printing; mechanical tone,,Private Collection,,,,Image;StillImage,image/jpeg,REQUEST RIGHTS,,image,/objects/lichtenstein-mirror-1972.jpg,/objects/small/lichtenstein-mirror-1972_sm.jpg,/objects/thumbs/lichtenstein-mirror-1972_th.jpg,
ff_036,,polke-freundinnen-1965.png,Freundinnen (Girlfriends),Sigmar Polke,,,,,1965,,,,painting,dots,artwork; painting,printing; mechanical tone; errors; moiré,,,,,,Image;StillImage,image/jpeg,REQUEST RIGHTS,,image,/objects/polke-freundinnen-1965.png,/objects/small/polke-freundinnen-1965_sm.jpg,/objects/thumbs/polke-freundinnen-1965_th.jpg,
ff_037,,,Dream Displacement,Paul Sharits,,,,,1976,,,,direct animation; visible film strip; projection installation,frames; flicker,film,projection; frame registration; alternative segmentation,,,,,,,multiple,REQUEST RIGHTS,,multiple,,,/objects/thumbs/sharits-dreamdisplacement-2_th.jpg,
