objectid,parentid,filename,title,creator,distributor,publication,publisher,page number,date,imagedby,imageddate,description,techniques,forms,media,issues,websource,physsource,URL,URLcontext,identifier,type,format,rights,rightsholder,display_template,object_location,image_small,image_thumb,image_alt_text
ff_054,ff_051,navy-training-film-projectionist-manual-1947-excerpts.pdf,"Training Film Projectionists' Manual, excerpt",United States Armed Forces,United States Bureau of Naval Personnel,Training Film Projectionists' Manual,US Government Printing Office,12-26,1947,GoogleBooks,,,projection,frames,film,projection; frame registration; alternative segmentation,Hathi Trust Digital Library,University of Illinois at Urbana Champaign,https://catalog.hathitrust.org/Record/102271582,,TR890.U7,Text,application/pdf,Public Domain,,pdf,/objects/navy-training-film-projectionist-manual-1947-excerpts.pdf,/objects/small/navy-training-film-projectionist-manual-1947-excerpts_sm.jpg,/objects/thumbs/navy-training-film-projectionist-manual-1947-excerpts_th.jpg,
ff_055,,,The Audio-Visual Projectionists' Handbook,Business Screen Magazine,,The Audio-Visual Projectionists' Handbook,Business Screen Magazine,,1953,GoogleBooks,,,projection,frames,film,projection; frame registration; alternative segmentation,Hathi Trust Digital Library,Cornell University,https://catalog.hathitrust.org/Record/009059110,,1897906 (OCLC),,multiple,Public Domain,,multiple,,,/objects/thumbs/audio-visual-projectionists-handbook-1953-misframe-detail_th.jpg,
ff_056,ff_055,audio-visual-projectionists-handbook-1953-misframe-detail.jpg,"""Keep the picture in frame.""",Business Screen Magazine,,The Audio-Visual Projectionists' Handbook,Business Screen Magazine,,1953,GoogleBooks,,,projection,frames,film,projection; frame registration; alternative segmentation,Hathi Trust Digital Library,Cornell University,https://catalog.hathitrust.org/Record/009059110,,1897906 (OCLC),Image;StillImage,image/jpeg,Public Domain,,image,/objects/audio-visual-projectionists-handbook-1953-misframe-detail.jpg,/objects/small/audio-visual-projectionists-handbook-1953-misframe-detail_sm.jpg,/objects/thumbs/audio-visual-projectionists-handbook-1953-misframe-detail_th.jpg,
ff_057,ff_055,audio-visual-projectionists-handbook-1953-the-projectionists-job.jpg,"""The Projectionist's Job""",Business Screen Magazine,,The Audio-Visual Projectionists' Handbook,Business Screen Magazine,,1953,GoogleBooks,,,projection,frames,film,projection,Hathi Trust Digital Library,Cornell University,https://catalog.hathitrust.org/Record/009059110,,1897906 (OCLC),Image;StillImage,image/jpeg,Public Domain,,image,/objects/audio-visual-projectionists-handbook-1953-the-projectionists-job.jpg,/objects/small/audio-visual-projectionists-handbook-1953-the-projectionists-job_sm.jpg,/objects/thumbs/audio-visual-projectionists-handbook-1953-the-projectionists-job_th.jpg,
ff_058,ff_055,audio-visual-projectionists-handbook-1953-during-the-showing.jpg,"""During the Showing""",Business Screen Magazine,,The Audio-Visual Projectionists' Handbook,Business Screen Magazine,,1953,GoogleBooks,,,projection,frames,film,projection; frame registration,Hathi Trust Digital Library,Cornell University,https://catalog.hathitrust.org/Record/009059110,,1897906 (OCLC),Image;StillImage,image/jpeg,Public Domain,,image,/objects/audio-visual-projectionists-handbook-1953-during-the-showing.jpg,/objects/small/audio-visual-projectionists-handbook-1953-during-the-showing_sm.jpg,/objects/thumbs/audio-visual-projectionists-handbook-1953-during-the-showing_th.jpg,
ff_059,ff_055,audio-visual-projectionists-handbook-1953-film-damage.jpg,"""Types of Film Damage""",Business Screen Magazine,,The Audio-Visual Projectionists' Handbook,Business Screen Magazine,,1953,GoogleBooks,,,projection,frames,film,projection; film damage,Hathi Trust Digital Library,Cornell University,https://catalog.hathitrust.org/Record/009059110,,1897906 (OCLC),Image;StillImage,image/jpeg,Public Domain,,image,/objects/audio-visual-projectionists-handbook-1953-film-damage.jpg,/objects/small/audio-visual-projectionists-handbook-1953-film-damage_sm.jpg,/objects/thumbs/audio-visual-projectionists-handbook-1953-film-damage_th.jpg,
ff_060,ff_055,audio-visual-projectionists-handbook-1953.pdf,The Audio-Visual Projectionists' Handbook [complete],Business Screen Magazine,,The Audio-Visual Projectionists' Handbook,Business Screen Magazine,,1953,GoogleBooks,,,projection,frames,film,projection; frame registration; film damage,Hathi Trust Digital Library,Cornell University,https://catalog.hathitrust.org/Record/009059110,,1897906 (OCLC),Text,application/pdf,Public Domain,,pdf,/objects/audio-visual-projectionists-handbook-1953.pdf,/objects/small/audio-visual-projectionists-handbook-1953_sm.jpg,/objcets/thumbs/audio-visual-projectionists-handbook-1953_th.jpg,
ff_061,,,"""Improper Repairs,"" from The Use and Care of Motion Picture Film",Charles Roach,,Iowa State College of Agriculture and Mechanic Arts Official Publication,Iowa State College,,1921-08-10,GoogleBooks,,,projection,frames,film,projection; frame registration; film damage,Hathi Trust Digital Library,University of Michigan,https://catalog.hathitrust.org/Record/000054160,,,,multiple,Public Domain,,multiple,,,/objects/thumbs/use-and-care-1921-improper-repairs_th.jpg,
ff_062,ff_061,use-and-care-1921-improper-repairs.jpg,Improper Repairs,Charles Roach,,Iowa State College of Agriculture and Mechanic Arts Official Publication,Iowa State College,,1921-08-10,GoogleBooks,,,projection,frames,film,projection; frame registration; film damage,Hathi Trust Digital Library,University of Michigan,https://catalog.hathitrust.org/Record/000054160,,,Image;StillImage,image/jpeg,Public Domain,,image,/objects/use-and-care-1921-improper-repairs.jpg,/objects/small/use-and-care-1921-improper-repairs_sm.jpg,/objects/thumbs/use-and-care-1921-improper-repairs_th.jpg,
ff_063,ff_061,use-and-care-1921.pdf,The Use and Care of Motion Picture Film [complete],Charles Roach,,Iowa State College of Agriculture and Mechanic Arts Official Publication,Iowa State College,,1921-08-10,GoogleBooks,,,projection,frames,film,projection; frame registration; film damage,Hathi Trust Digital Library,University of Michigan,https://catalog.hathitrust.org/Record/000054160,,,Text,application/pdf,Public Domain,,pdf,/objects/use-and-care-1921.pdf,/objects/small/use-and-care-1921_sm.jpg,/objects/thumbs/use-and-care_th.jpg,
ff_064,,,"""Picture Improperly Framed,"" from Training Film and Film Strip Projection",United States War Departent,,Technical Manual No 11-401,United States War Departent,28,1943-03-22,GoogleBooks,,,projection,frames,film,projection; frame registration; film damage,Hathi Trust Digital Library,University of California,,,,,multiple,Public Domain,,multiple,,,/objects/thumbs/war-department-technical-manual-1943-misframe_th.jpg,
ff_065,,war-department-technical-manual-1943-misframe.jpg,"""Picture Improperly Framed.""",United States War Departent,,Technical Manual No 11-402,US Government Printing Office,28,1943-03-22,GoogleBooks,,,projection,frames,film,projection; frame registration; film damage,Hathi Trust Digital Library,University of California,,,,Image;StillImage,image/jpeg,Public Domain,,image,/objects/war-department-technical-manual-1943-misframe.jpg,/objects/small/war-department-technical-manual-1943-misframe_sm.jpg,/objects/thumbs/war-department-technical-manual-1943-misframe_th.jpg,
ff_066,,war-department-technical-manual-1943.pdf,Training Film and Film Strip Projection [complete],United States War Departent,,Technical Manual No 11-403,US Government Printing Office,,1943-03-22,GoogleBooks,,,projection,frames,film,projection; frame registration; film damage,Hathi Trust Digital Library,University of California,,,,Text,application/pdf,Public Domain,,pdf,/objects/war-department-technical-manual-1943.pdf,/objects/small/war-department-technical-manual-1943_sm.jpg,/objects/thumbs/war-department-technical-manual-1943_th.jpg,
ff_067,,projectionists-manual-1953.jpg,Page from Projectionists' Manual,U.S. Bureau of Naval Personnel,,Projectionists' Manual,US Government Printing Office,4,1954,GoogleBooks,,,projection,frames,film,projection; frame registration; film damage,Hathi Trust Digital Library,University of California,https://catalog.hathitrust.org/Record/006665776,,,Image;StillImage,image/jpeg,Public Domain,,image,/objects/projectionists-manual-1953.jpg,/objects/small/projectionists-manual-1953_sm.jpg,/objects/thumbs/projectionists-manual-1953_th.jpg,
